波长	光强
380	0.021608529
381	0.018694264
382	0.017377406
383	0.030297232
384	0.029682046
385	0.036093368
386	0.019471422
387	0.019676484
388	0.030977207
389	0.022569051
390	0.03220758
391	0.026130897
392	0.017949501
393	0.015574937
394	0.021856682
395	0.024339125
396	0.033405558
397	0.03796032
398	0.04034558
399	0.053999168
400	0.062936024
401	0.08373005
402	0.113050808
403	0.13985997
404	0.197109142
405	0.249658697
406	0.327715769
407	0.429331695
408	0.540649101
409	0.703401456
410	0.883055934
411	1.078100276
412	1.348361506
413	1.611840104
414	1.953801177
415	2.307667527
416	2.667705968
417	3.203668957
418	3.759319255
419	4.398523324
420	5.081767332
421	5.770522411
422	6.567811115
423	7.377835069
424	8.151807454
425	8.824999376
426	9.496309196
427	9.915708658
428	10.25328635
429	10.60439818
430	10.59647543
431	10.50510341
432	10.2508016
433	9.84749075
434	9.433736274
435	8.908624288
436	8.425792671
437	7.974165688
438	7.612117145
439	7.291147688
440	7.123279829
441	7.006257884
442	7.025406784
443	7.149890959
444	7.355293335
445	7.677737058
446	8.131301899
447	8.704863429
448	9.421167533
449	10.21262372
450	11.09660154
451	11.96118407
452	12.75440893
453	13.45116343
454	13.96375243
455	14.20217153
456	14.1852743
457	13.8368643
458	13.2837718
459	12.51169217
460	11.65975216
461	10.77712004
462	9.969739326
463	9.243374226
464	8.613017298
465	8.08587209
466	7.675843026
467	7.368134925
468	7.085566001
469	6.860217368
470	6.616172907
471	6.364352801
472	6.09283932
473	5.802795446
474	5.51008184
475	5.21613722
476	4.946964678
477	4.70803478
478	4.482311948
479	4.29295244
480	4.152951951
481	4.060289127
482	4.020927916
483	4.0032086
484	4.019216675
485	4.0610385
486	4.137333932
487	4.220121949
488	4.32326157
489	4.439588389
490	4.602361046
491	4.753973686
492	4.937876028
493	5.151954338
494	5.377030853
495	5.634862641
496	5.890852923
497	6.201075866
498	6.511555757
499	6.864082982
500	7.235156975
501	7.62978736
502	8.096616934
503	8.584850946
504	9.069123363
505	9.563319438
506	10.05732713
507	10.62255346
508	11.16172848
509	11.71150022
510	12.26459489
511	12.76507563
512	13.32048284
513	13.8921908
514	14.37779509
515	14.87652806
516	15.29401718
517	15.73393281
518	16.0881197
519	16.37738476
520	16.66298615
521	16.81982334
522	16.90753943
523	16.98996529
524	16.95429537
525	16.89578056
526	16.87736403
527	16.74743968
528	16.58747421
529	16.42084468
530	16.16573974
531	15.97999238
532	15.73965741
533	15.49614712
534	15.18826301
535	14.94237956
536	14.68245325
537	14.40732702
538	14.17780463
539	13.94165198
540	13.734232
541	13.52245406
542	13.32513337
543	13.12101742
544	12.94211116
545	12.77999817
546	12.62662295
547	12.4821933
548	12.35177497
549	12.21991073
550	12.08647619
551	11.98452482
552	11.90825142
553	11.81823837
554	11.74523699
555	11.66722429
556	11.60004609
557	11.53319817
558	11.50226392
559	11.42899377
560	11.41685611
561	11.41582369
562	11.43024218
563	11.42735896
564	11.46659906
565	11.48453868
566	11.4960408
567	11.52142283
568	11.56664365
569	11.58980425
570	11.61547065
571	11.67084621
572	11.72180551
573	11.76755648
574	11.82873218
575	11.88561655
576	12.02230227
577	12.04914668
578	12.12537132
579	12.24252349
580	12.30913683
581	12.37825032
582	12.50464162
583	12.59773767
584	12.72233224
585	12.82786734
586	12.87388886
587	12.97625691
588	13.10585869
589	13.21762636
590	13.31173478
591	13.43644095
592	13.54634277
593	13.69224625
594	13.81960726
595	13.95574166
596	14.10882655
597	14.30497622
598	14.44630907
599	14.61495672
600	14.87107246
601	15.08449012
602	15.30068156
603	15.58451597
604	15.86187994
605	16.20487429
606	16.50361951
607	16.92018559
608	17.26286027
609	17.68946088
610	18.12876108
611	18.64473908
612	19.14451373
613	19.70514418
614	20.30129329
615	20.85780228
616	21.43525988
617	21.96044347
618	22.46147343
619	22.89012259
620	23.05214788
621	23.23966442
622	23.09381519
623	22.97773561
624	22.48085461
625	21.92017459
626	21.12662955
627	20.28861518
628	19.37899094
629	18.45518315
630	17.62095139
631	16.72342124
632	15.95016577
633	15.28844731
634	14.67243156
635	14.18599657
636	13.74806248
637	13.36475573
638	13.01406488
639	12.71729631
640	12.46373965
641	12.20058203
642	11.94480268
643	11.78453312
644	11.55936197
645	11.38567051
646	11.23078998
647	11.07311068
648	10.87315426
649	10.6907593
650	10.56628731
651	10.37654918
652	10.2468707
653	10.13221104
654	9.977966793
655	9.790495143
656	9.673641681
657	9.525438256
658	9.336615723
659	9.189255488
660	9.066462809
661	8.921741595
662	8.789070779
663	8.659671649
664	8.503942729
665	8.348296548
666	8.199182175
667	8.062405648
668	7.925061398
669	7.799759393
670	7.683344237
671	7.553353471
672	7.427152555
673	7.285093843
674	7.170646368
675	7.074476911
676	6.901647803
677	6.765016355
678	6.635779854
679	6.512784383
680	6.386380242
681	6.27638586
682	6.14920132
683	6.016945916
684	5.888819214
685	5.765535804
686	5.656481795
687	5.536624171
688	5.402825517
689	5.293449339
690	5.159820111
691	5.06336754
692	4.946325593
693	4.848210827
694	4.722264916
695	4.630391613
696	4.512755809
697	4.413606938
698	4.301500227
699	4.200315644
700	4.111376531
701	4.004798914
702	3.907295121
703	3.810927263
704	3.737455746
705	3.639137755
706	3.553947028
707	3.462972203
708	3.380352035
709	3.285806778
710	3.200276766
711	3.126856164
712	3.038392396
713	2.965327761
714	2.898351846
715	2.813534203
716	2.748797225
717	2.672765035
718	2.605874266
719	2.533674744
720	2.472109411
721	2.405133928
722	2.341719859
723	2.276779655
724	2.217724513
725	2.169950708
726	2.103022899
727	2.052033177
728	2.010329956
729	1.954223898
730	1.892428772
731	1.840564485
732	1.783799194
733	1.745825456
734	1.692400804
735	1.644251106
736	1.600290477
737	1.56900072
738	1.515950989
739	1.479744083
740	1.440297933
741	1.400521727
742	1.354590608
743	1.322099695
744	1.28661579
745	1.251047173
