波长	5:30	6:30	7:30	8:30	9:30	10:30	11:30	12:30	13:30	14:30	15:30	16:30	17:30	18:30	19:30
380	0.318755	0.309987667	0.301220333	0.292453	0.33861575	0.3847785	0.43094125	0.477104	0.433652	0.3902	0.346748	0.303296	0.205850333	0.108404667	0.010959
381	0.325613	0.316790667	0.307968333	0.299146	0.3458275	0.392509	0.4391905	0.485872	0.44200625	0.3981405	0.35427475	0.310409	0.210744333	0.111079667	0.011415
382	0.334325	0.32534	0.316355	0.30737	0.354709	0.402048	0.449387	0.496726	0.4524735	0.408221	0.3639685	0.319716	0.217153333	0.114590667	0.012028
383	0.343022	0.333875	0.324728	0.315581	0.36358225	0.4115835	0.45958475	0.507586	0.4629425	0.418299	0.3736555	0.329012	0.223553667	0.118095333	0.012637
384	0.350499	0.341187333	0.331875667	0.322564	0.371661	0.420758	0.469855	0.518952	0.47354475	0.4281375	0.38273025	0.337323	0.229181667	0.121040333	0.012899
385	0.357975	0.348499333	0.339023667	0.329548	0.3797405	0.429933	0.4801255	0.530318	0.484147	0.437976	0.391805	0.345634	0.234809667	0.123985333	0.013161
386	0.369727	0.359916	0.350105	0.340294	0.3918855	0.443477	0.4950685	0.54666	0.49925	0.45184	0.40443	0.35702	0.242549	0.128078	0.013607
387	0.388799	0.378361333	0.367923667	0.357486	0.4109955	0.464505	0.5180145	0.571524	0.522061	0.472598	0.423135	0.373672	0.253903667	0.134135333	0.014367
388	0.407871	0.396806333	0.385741667	0.374677	0.430105	0.485533	0.540961	0.596389	0.54487275	0.4933565	0.44184025	0.390324	0.265258333	0.140192667	0.015127
389	0.421812	0.410445	0.399078	0.387711	0.4445485	0.501386	0.5582235	0.615061	0.5619705	0.50888	0.4557895	0.402699	0.273767667	0.144836333	0.015905
390	0.433861	0.422310667	0.410760333	0.39921	0.45726975	0.5153295	0.57338925	0.631449	0.5769605	0.522472	0.4679835	0.413495	0.281226	0.148957	0.016688
391	0.446153	0.434413667	0.422674333	0.410935	0.47025775	0.5295805	0.58890325	0.648226	0.592349	0.536472	0.480595	0.424718	0.288965	0.153212	0.017459
392	0.460715	0.448728667	0.436742333	0.424756	0.4857255	0.546695	0.6076645	0.668634	0.61145375	0.5542735	0.49709325	0.439913	0.299312333	0.158711667	0.018111
393	0.475278	0.463044333	0.450810667	0.438577	0.50119325	0.5638095	0.62642575	0.689042	0.6305585	0.572075	0.5135915	0.455108	0.309659333	0.164210667	0.018762
394	0.4978	0.484997	0.472194	0.459391	0.52464525	0.5898995	0.65515375	0.720408	0.65945675	0.5985055	0.53755425	0.476603	0.324317	0.172031	0.019745
395	0.529374	0.515635333	0.501896667	0.488158	0.557178	0.626198	0.695218	0.764238	0.69949425	0.6347505	0.57000675	0.505263	0.343876667	0.182490333	0.021104
396	0.560949	0.546274	0.531599	0.516924	0.58971025	0.6624965	0.73528275	0.808069	0.73953275	0.6709965	0.60246025	0.533924	0.363437	0.19295	0.022463
397	0.600107	0.585030333	0.569953667	0.554877	0.6324875	0.710098	0.7877085	0.865319	0.79225975	0.7192005	0.64614125	0.573082	0.390153	0.207224	0.024295
398	0.640673	0.625293667	0.609914333	0.594535	0.67716675	0.7597985	0.84243025	0.925062	0.84734375	0.7696255	0.69190725	0.614189	0.418198	0.222207	0.026216
399	0.681243	0.665434333	0.649625667	0.633817	0.7211935	0.80857	0.8959465	0.983323	0.901174	0.819025	0.736876	0.654727	0.445861667	0.236996333	0.028131
400	0.72183	0.70515	0.68847	0.67179	0.7629515	0.854113	0.9452745	1.036436	0.950648	0.86486	0.779072	0.693284	0.472198333	0.251112667	0.030027
401	0.762416	0.744865	0.727314	0.709763	0.80470975	0.8996565	0.99460325	1.08955	1.00012275	0.9106955	0.82126825	0.731841	0.498534667	0.265228333	0.031922
402	0.801742	0.782975	0.764208	0.745441	0.84385675	0.9422725	1.04068825	1.139104	1.0463645	0.953625	0.8608855	0.768146	0.523360667	0.278575333	0.03379
403	0.83728	0.817145	0.79701	0.776875	0.878192	0.979509	1.080826	1.182143	1.08664475	0.9911465	0.89564825	0.80015	0.545271333	0.290392667	0.035514
404	0.872942	0.851438	0.829934	0.80843	0.91266775	1.0169055	1.12114325	1.225381	1.127106	1.028831	0.930556	0.832281	0.567268333	0.302255667	0.037243
405	0.883449	0.862023333	0.840597667	0.819172	0.92257325	1.0259745	1.12937575	1.232777	1.13476125	1.0367455	0.93872975	0.840714	0.573063	0.305412	0.037761
406	0.893873	0.872528	0.851183	0.829838	0.9323995	1.034961	1.1375225	1.240084	1.14233175	1.0445795	0.94682725	0.849075	0.578808	0.308541	0.038274
407	0.901179	0.879814333	0.858449667	0.837085	0.93910575	1.0411265	1.14314725	1.245168	1.1475415	1.049915	0.9522885	0.854662	0.582685333	0.310708667	0.038732
408	0.906609	0.884999333	0.863389667	0.84178	0.94404875	1.0463175	1.14858625	1.250855	1.152826	1.054797	0.956768	0.858739	0.585569333	0.312399667	0.03923
409	0.912146	0.890288	0.86843	0.846572	0.94909825	1.0516245	1.15415075	1.256677	1.15823525	1.0597935	0.96135175	0.86291	0.588518333	0.314126667	0.039735
410	0.921286	0.899195333	0.877104667	0.855014	0.9582715	1.061529	1.1647865	1.268044	1.169183	1.070322	0.971461	0.8726	0.595205333	0.317810667	0.040416
411	0.931414	0.909094	0.886774	0.864454	0.9685705	1.072687	1.1768035	1.28092	1.1816385	1.082357	0.9830755	0.883794	0.602911333	0.322028667	0.041146
412	0.941267	0.918934	0.896601	0.874268	0.979067	1.083866	1.188665	1.293464	1.193747	1.09403	0.994313	0.894596	0.610348667	0.326101333	0.041854
413	0.949041	0.927619667	0.906198333	0.884777	0.989422	1.094067	1.198712	1.303357	1.2032255	1.103094	1.0029625	0.902831	0.616027667	0.329224333	0.042421
414	0.956903	0.936399	0.915895	0.895391	0.99988475	1.1043785	1.20887225	1.313366	1.2128135	1.112261	1.0117085	0.911156	0.621768333	0.332380667	0.042993
415	0.961353	0.940796667	0.920240333	0.899684	1.00304925	1.1064145	1.20977975	1.313145	1.2136355	1.114126	1.0146165	0.915107	0.624611	0.334115	0.043619
416	0.957465	0.936351333	0.915237667	0.894124	0.9950935	1.096063	1.1970325	1.298002	1.20109875	1.1041955	1.00729225	0.910389	0.621590333	0.332791667	0.043993
417	0.953985	0.932336333	0.910687667	0.889039	0.98772025	1.0864015	1.18508275	1.283764	1.18934875	1.0949335	1.00051825	0.906103	0.618859667	0.331616333	0.044373
418	0.951326	0.930254667	0.909183333	0.888112	0.9858895	1.083667	1.1814445	1.279222	1.1854385	1.091655	0.9978715	0.904088	0.617613333	0.331138667	0.044664
419	0.953398	0.932806667	0.912215333	0.891624	0.98897425	1.0863245	1.18367475	1.281025	1.18741275	1.0938005	1.00018825	0.906576	0.619445	0.332314	0.045183
420	0.956394	0.935972667	0.915551333	0.89513	0.9921865	1.089243	1.1862995	1.283356	1.189779	1.096202	1.002625	0.909048	0.621267	0.333486	0.045705
421	0.954079	0.933548	0.913017	0.892486	0.98877475	1.0850635	1.18135225	1.277641	1.18455125	1.0914615	0.99837175	0.905282	0.618824667	0.332367333	0.04591
422	0.951978	0.931333333	0.910688667	0.890044	0.985588	1.081132	1.176676	1.27222	1.179596	1.086972	0.994348	0.901724	0.616524333	0.331324667	0.046125
423	0.949749	0.929030333	0.908311667	0.887593	0.98281925	1.0780455	1.17327175	1.268498	1.1762005	1.083903	0.9916055	0.899308	0.614889	0.33047	0.046051
424	0.94742	0.926636	0.905852	0.885068	0.98004125	1.0750145	1.16998775	1.264961	1.1729735	1.080986	0.9889985	0.897011	0.613315333	0.329619667	0.045924
425	0.942347	0.921683667	0.901020333	0.880357	0.97444225	1.0685275	1.16261275	1.256698	1.1657115	1.074725	0.9837385	0.892752	0.610431333	0.328110667	0.04579
426	0.928634	0.908598667	0.888563333	0.868528	0.95994725	1.0513665	1.14278575	1.234205	1.14613425	1.0580635	0.96999275	0.881922	0.603132667	0.324343333	0.045554
427	0.915228	0.895812	0.876396	0.85698	0.94577125	1.0345625	1.12335375	1.212145	1.12695125	1.0417575	0.95656375	0.87137	0.596023667	0.320677333	0.045331
428	0.909488	0.890379667	0.871271333	0.852163	0.939767	1.027371	1.114975	1.202579	1.118282	1.033985	0.949688	0.865391	0.592130667	0.318870333	0.04561
429	0.908345	0.889388	0.870431	0.851474	0.9386125	1.025751	1.1128895	1.200028	1.1156945	1.031361	0.9470275	0.862694	0.590518667	0.318343333	0.046168
430	0.909469	0.890530333	0.871591667	0.852653	0.939653	1.026653	1.113653	1.200653	1.11606125	1.0314695	0.94687775	0.862286	0.590453333	0.318620667	0.046788
431	0.920186	0.900582667	0.880979333	0.861376	0.94978425	1.0381925	1.12660075	1.215009	1.129209	1.043409	0.957609	0.871809	0.597063	0.322317	0.047571
432	0.930699	0.910436	0.890173	0.86991	0.9597065	1.049503	1.1392995	1.229096	1.14210675	1.0551175	0.96812825	0.881139	0.603540667	0.325942333	0.048344
433	0.942187	0.92215	0.902113	0.882076	0.97243175	1.0627875	1.15314325	1.243499	1.155859	1.068219	0.980579	0.892939	0.611754	0.330569	0.049384
434	0.952312	0.933144667	0.913977333	0.89481	0.98496875	1.0751275	1.16528625	1.255445	1.16770775	1.0799705	0.99223325	0.904496	0.619829667	0.335163333	0.050497
435	0.963204	0.944855667	0.926507333	0.908159	0.99823775	1.0883165	1.17839525	1.268474	1.18053075	1.0925875	1.00464425	0.916701	0.628346333	0.339991667	0.051637
436	0.987515	0.969120333	0.950725667	0.932331	1.02439425	1.1164575	1.20852075	1.300584	1.21048775	1.1203915	1.03029525	0.940199	0.644559667	0.348920333	0.053281
437	1.0115	0.993060333	0.974620667	0.956181	1.05020125	1.1442215	1.23824175	1.332262	1.240042	1.147822	1.055602	0.963382	0.660556	0.35773	0.054904
438	1.032717	1.014037	0.995357	0.976677	1.07239875	1.1681205	1.26384225	1.359564	1.2655365	1.171509	1.0774815	0.983454	0.674486	0.365518	0.05655
439	1.052695	1.033546333	1.014397667	0.995249	1.09255625	1.1898635	1.28717075	1.384478	1.288823	1.193168	1.097513	1.001858	0.687342	0.372826	0.05831
440	1.072783	1.053164333	1.033545667	1.013927	1.1128315	1.211736	1.3106405	1.409545	1.31225125	1.2149575	1.11766375	1.02037	0.700270667	0.380171333	0.060072
441	1.087727	1.067200667	1.046674333	1.026148	1.12534775	1.2245475	1.32374725	1.422947	1.32560175	1.2282565	1.13091125	1.033566	0.709503667	0.385441333	0.061379
442	1.100402	1.078991333	1.057580667	1.03617	1.13542875	1.2346875	1.33394625	1.433205	1.33605325	1.2389015	1.14174975	1.044598	0.717245333	0.389892667	0.06254
443	1.116061	1.094248667	1.072436333	1.050624	1.1507375	1.250851	1.3509645	1.451078	1.35316925	1.2552605	1.15735175	1.059443	0.727612333	0.395781667	0.063951
444	1.134102	1.112604333	1.091106667	1.069609	1.1715325	1.273456	1.3753795	1.477303	1.3774605	1.277618	1.1777755	1.077933	0.740492667	0.403052333	0.065612
