通道1,通道2,通道3,通道4,通道5
2.7479e-01, 2.3391e-01, 6.1116e-02, 3.3560e-02, 3.9663e-01,
2.7399e-01, 2.3335e-01, 6.1444e-02, 3.5576e-02, 3.9565e-01,
2.7316e-01, 2.3277e-01, 6.1784e-02, 3.7652e-02, 3.9464e-01,
2.7231e-01, 2.3216e-01, 6.2137e-02, 3.9790e-02, 3.9360e-01,
2.8976e-01, 2.2870e-01, 5.9251e-02, 3.4115e-02, 3.8818e-01,
3.2218e-01, 2.1840e-01, 5.7472e-02, 3.3113e-02, 3.6884e-01,
3.3482e-01, 2.1597e-01, 5.5464e-02, 2.9036e-02, 3.6470e-01,
3.4648e-01, 2.1364e-01, 5.3662e-02, 2.5647e-02, 3.6058e-01,
3.4375e-01, 2.0451e-01, 5.7508e-02, 3.0097e-02, 3.6414e-01,
3.3686e-01, 2.0681e-01, 6.1591e-02, 3.4288e-02, 3.6046e-01,
3.2870e-01, 2.0793e-01, 6.5829e-02, 3.9046e-02, 3.5849e-01,
3.2509e-01, 2.0611e-01, 6.7009e-02, 4.6556e-02, 3.5523e-01,
3.2047e-01, 2.0379e-01, 6.8808e-02, 5.6209e-02, 3.5072e-01,
3.1527e-01, 2.0377e-01, 8.7065e-02, 7.7370e-02, 3.1652e-01,
2.3366e-01, 1.5628e-01, 1.2184e-01, 2.5012e-01, 2.3810e-01
